match_type,date,english_name,url,language,display_order,source_file,notes,description_mode,site_label,link_description
exact_date_and_name,9-Mar,St. Frances of Rome,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=030901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 47,localized_summary,Laudate,
exact_date_and_name,17-Mar,St. Patrick,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=031701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 50,localized_summary,Laudate,
exact_date_and_name,18-Mar,St. Cyril of Jerusalem,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=031801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 51,localized_summary,Laudate,
exact_date_and_name,19-Mar,St. Joseph,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=031901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 52,localized_summary,Laudate,
exact_date_and_name,21-Mar,St. Benedict,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=071101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 53,localized_summary,Laudate,
exact_date_and_name,24-Mar,St. Gabriel,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=092901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 54,localized_summary,Laudate,
exact_date_and_name,27-Mar,St. John Damascene,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=120402,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 55,localized_summary,Laudate,
exact_date_and_name,28-Mar,St. John Capistrano,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=032801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 56,localized_summary,Laudate,
exact_date_and_name,2-Apr,St. Francis of Paula,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=040201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 57,localized_summary,Laudate,
exact_date_and_name,4-Apr,St. Isidore,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=040401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 58,localized_summary,Laudate,
exact_date_and_name,5-Apr,St. Vincent Ferrer,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=040501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 59,localized_summary,Laudate,
